Game,Winner,0,1,2,3,4,5,6,7,8
90,X,,O,X,,X,,O,,X
90,X,,O,X,,X,,O,O,X
90,X,X,O,X,,X,,O,O,X
91,X,,,,,X,,,,
91,X,,,,,X,O,,,
91,X,,,X,,X,O,,,
91,X,,,X,,X,O,,,O
91,X,,X,X,,X,O,,,O
91,X,,X,X,,X,O,O,,O
91,X,,X,X,X,X,O,O,,O
91,X,O,X,X,X,X,O,O,,O
91,X,O,X,X,X,X,O,O,X,O
92,O,,,,,X,,,,
92,O,,O,,,X,,,,
92,O,,O,,,X,,,,X
92,O,O,O,,,X,,,,X
92,O,O,O,,,X,,,X,X
92,O,O,O,O,,X,,,X,X
93,X,,,,,X,,,,
93,X,,O,,,X,,,,
93,X,,O,,,X,,,,X
93,X,,O,,,X,O,,,X
93,X,,O,X,,X,O,,,X
93,X,,O,X,,X,O,,O,X
93,X,X,O,X,,X,O,,O,X
94,X,,,,,X,,,,
94,X,O,,,,X,,,,
94,X,O,,,X,X,,,,
94,X,O,,,X,X,,,O,
94,X,O,,X,X,X,,,O,
94,X,O,,X,X,X,O,,O,
94,X,O,,X,X,X,O,X,O,
95,X,,,,,X,,,,
95,X,,O,,,X,,,,
95,X,,O,,,X,,,,X
95,X,,O,,,X,O,,,X
95,X,,O,X,,X,O,,,X
95,X,,O,X,O,X,O,,,X
95,X,X,O,X,O,X,O,,,X
96,O,,,,,X,,,,
96,O,,,,,X,,,,O
96,O,,X,,,X,,,,O
96,O,,X,O,,X,,,,O
96,O,,X,O,,X,,X,,O
96,O,O,X,O,,X,,X,,O
96,O,O,X,O,X,X,,X,,O
96,O,O,X,O,X,X,O,X,,O
97,,,,,,X,,,,
97,,,,,,X,O,,,
97,,,,X,,X,O,,,
97,,O,,X,,X,O,,,
97,,O,,X,X,X,O,,,
97,,O,,X,X,X,O,O,,
97,,O,,X,X,X,O,O,X,
97,,O,O,X,X,X,O,O,X,
97,,O,O,X,X,X,O,O,X,X
98,,,,,,X,,,,
98,,O,,,,X,,,,
98,,O,,,X,X,,,,
98,,O,,,X,X,,O,,
98,,O,,X,X,X,,O,,
98,,O,,X,X,X,O,O,,
98,,O,,X,X,X,O,O,X,
98,,O,O,X,X,X,O,O,X,
98,,O,O,X,X,X,O,O,X,X
99,X,,,,,X,,,,
99,X,,,O,,X,,,,
99,X,,,O,,X,X,,,
99,X,O,,O,,X,X,,,
99,X,O,,O,X,X,X,,,
100,,,,,,X,,,,
100,,O,,,,X,,,,
100,,O,,,X,X,,,,
100,,O,,,X,X,O,,,
100,,O,,X,X,X,O,,,
100,,O,O,X,X,X,O,,,
100,,O,O,X,X,X,O,,,X
100,,O,O,X,X,X,O,O,,X
100,,O,O,X,X,X,O,O,X,X
101,X,,,,,X,,,,
101,X,,,,,X,,,,O
101,X,,X,,,X,,,,O
101,X,,X,,,X,O,,,O
101,X,,X,X,,X,O,,,O
101,X,,X,X,,X,O,,O,O
101,X,X,X,X,,X,O,,O,O
102,X,,,,,X,,,,
102,X,,,,,X,O,,,
102,X,,,X,,X,O,,,
102,X,,,X,,X,O,,,O
102,X,,X,X,,X,O,,,O
102,X,,X,X,,X,O,,O,O
102,X,X,X,X,,X,O,,O,O
103,,,,,,X,,,,
103,,,,,,X,,,O,
103,,X,,,,X,,,O,
103,,X,,O,,X,,,O,
103,,X,,O,,X,,X,O,
103,,X,,O,,X,,X,O,O
103,,X,X,O,,X,,X,O,O
103,,X,X,O,O,X,,X,O,O
103,,X,X,O,O,X,X,X,O,O
104,,,,,,X,,,,
104,,O,,,,X,,,,
104,,O,,,X,X,,,,
104,,O,,,X,X,,O,,
104,,O,,X,X,X,,O,,
104,,O,,X,X,X,O,O,,
